community,total.nitrogen,latitude,season
Spartina alterniflora,0.59,36.05,Spring
Spartina alterniflora,0.49,36.17,Spring
Spartina alterniflora,0.53,33.67,Spring
Spartina alterniflora,0.32,33.67,Spring
Spartina alterniflora,1.32,33.19,Spring
Spartina alterniflora,1.32,33.19,Spring
Spartina alterniflora,0.8,33.6,Spring
Spartina alterniflora,0.69,30.3,Spring
Spartina alterniflora,0.52,33,Spring
Spartina alterniflora,0.378,33.2,Spring
Spartina alterniflora,0.52,32.88,Spring
Spartina alterniflora,0.53,36.05,Summer
Spartina alterniflora,0.61,36.21,Summer
Spartina alterniflora,0.45,36.17,Summer
Spartina alterniflora,0.95,29.4,Summer
Spartina alterniflora,0.98,28.35,Summer
Spartina alterniflora,0.67,30.31,Summer
Spartina alterniflora,1.01,28.35,Summer
Spartina alterniflora,0.88,31.28,Summer
Spartina alterniflora,1.38,31.42,Summer
Spartina alterniflora,1,28.32,Summer
Spartina alterniflora,0.46,33.67,Summer
Spartina alterniflora,0.75,33.67,Summer
Spartina alterniflora,1.29,33.19,Summer
Spartina alterniflora,1.39,33.19,Summer
Spartina alterniflora,1.29,33.19,Summer
Spartina alterniflora,1.39,33.19,Summer
Spartina alterniflora,0.421,32.61,Summer
Spartina alterniflora,0.56,33.48,Summer
Spartina alterniflora,0.83,31.52,Summer
Spartina alterniflora,1.02,28.35,Summer
Spartina alterniflora,0.73,33.6,Summer
Spartina alterniflora,0.56,33.6,Summer
Spartina alterniflora,0.56,33.45,Summer
Spartina alterniflora,0.61,36.05,Autumn
Spartina alterniflora,0.26,36.17,Autumn
Spartina alterniflora,0.35,36.17,Autumn
Spartina alterniflora,1.57,26.75,Autumn
Spartina alterniflora,0.48,33.67,Autumn
Spartina alterniflora,0.64,33.67,Autumn
Spartina alterniflora,0.34,33.67,Autumn
Spartina alterniflora,1.17,33.19,Autumn
Spartina alterniflora,0.61,33.33,Autumn
Spartina alterniflora,0.139,31.4,Autumn
Spartina alterniflora,1.17,33.19,Autumn
Spartina alterniflora,0.21,33.13,Autumn
Spartina alterniflora,0.31,33.13,Autumn
Spartina alterniflora,0.65,30.3,Autumn
Spartina alterniflora,0.546,30.3,Autumn
Spartina alterniflora,1.03,33.6,Autumn
Spartina alterniflora,0.47,31.2,Autumn
Spartina alterniflora,0.0681,36.12,Autumn
Spartina alterniflora,0.79,33.53,Autumn
Spartina alterniflora,0.6,33.53,Autumn
Spartina alterniflora,0.69,36.05,Winter
Spartina alterniflora,0.39,33.67,Winter
Spartina alterniflora,1.18,33.19,Winter
Spartina alterniflora,1.31,33.19,Winter
Spartina alterniflora,1.18,33.19,Winter
Spartina alterniflora,1.31,33.19,Winter
Spartina alterniflora,1.02,28.35,Winter
Suaeda salsa,0.31,40.93,Spring
Suaeda salsa,0.46,37.5,Spring
Suaeda salsa,0.517,37.89,Spring
Suaeda salsa,0.482,37.89,Spring
Suaeda salsa,0.39,33.67,Spring
Suaeda salsa,0.37,33.67,Spring
Suaeda salsa,0.54,33.6,Spring
Suaeda salsa,0.31,32.88,Spring
Suaeda salsa,0.31,33,Spring
Suaeda salsa,0.32,36.21,Summer
Suaeda salsa,0.625,37.67,Summer
Suaeda salsa,0.148,37.67,Summer
Suaeda salsa,0.45,33.67,Summer
Suaeda salsa,0.37,33.67,Summer
Suaeda salsa,0.213,32.61,Summer
Suaeda salsa,0.32,33.48,Summer
Suaeda salsa,0.37,33.6,Summer
Suaeda salsa,0.32,33.45,Summer
Suaeda salsa,0.0245,36.18,Autumn
Suaeda salsa,0.39,33.67,Autumn
Suaeda salsa,0.34,33.67,Autumn
Suaeda salsa,0.41,33.67,Autumn
Suaeda salsa,0.13,33.13,Autumn
Suaeda salsa,0.53,33.13,Autumn
Suaeda salsa,0.29,33.53,Autumn
Suaeda salsa,0.28,37.75,Winter
Phragmites australis,0.42,41.23,Spring
Phragmites australis,0.537,37.89,Spring
Phragmites australis,0.276,37.89,Spring
Phragmites australis,0.27,33.67,Spring
Phragmites australis,0.32,33.67,Spring
Phragmites australis,0.38,33.6,Spring
Phragmites australis,0.47,30.3,Spring
Phragmites australis,0.58,32.88,Spring
Phragmites australis,0.312,33.2,Spring
Phragmites australis,0.56,36.21,Summer
Phragmites australis,0.931,37.67,Summer
Phragmites australis,0.154,37.67,Summer
Phragmites australis,0.94,31.28,Summer
Phragmites australis,1.65,31.42,Summer
Phragmites australis,0.29,32.61,Summer
Phragmites australis,0.36,33.48,Summer
Phragmites australis,0.69,31.52,Summer
Phragmites australis,0.36,33.45,Summer
Phragmites australis,0.0278,36.23,Autumn
Phragmites australis,0.3,33.67,Autumn
Phragmites australis,0.42,33.67,Autumn
Phragmites australis,0.134,31.4,Autumn
Phragmites australis,0.68,33.13,Autumn
Phragmites australis,0.48,30.3,Autumn
Phragmites australis,0.379,30.3,Autumn
Phragmites australis,0.3,37.75,Winter
Phragmites australis,0.31,33.67,Winter
