community,total.phosphorus,latitude,season
Spartina alterniflora,0.44,36.17,Spring
Spartina alterniflora,0.41,36.05,Spring
Spartina alterniflora,0.48,36.21,Summer
Spartina alterniflora,0.39,36.17,Summer
Spartina alterniflora,0.39,36.05,Summer
Spartina alterniflora,0.62,36.2,Autumn
Spartina alterniflora,0.43,36.17,Autumn
Spartina alterniflora,0.38,36.17,Autumn
Spartina alterniflora,0.58,36.12,Autumn
Spartina alterniflora,0.65,36.05,Autumn
Spartina alterniflora,0.63,36.05,Winter
Spartina alterniflora,0.64,33.67,Spring
Spartina alterniflora,0.44,33.67,Spring
Spartina alterniflora,1.45,33,Spring
Spartina alterniflora,1.45,32.88,Spring
Spartina alterniflora,0.72,33.67,Summer
Spartina alterniflora,0.74,33.67,Summer
Spartina alterniflora,0.724,33.6,Summer
Spartina alterniflora,0.621,33.48,Summer
Spartina alterniflora,0.621,33.45,Summer
Spartina alterniflora,0.91,31.42,Summer
Spartina alterniflora,0.9,31.28,Summer
Spartina alterniflora,0.58,30.31,Summer
Spartina alterniflora,0.63,29.4,Summer
Spartina alterniflora,0.65,28.35,Summer
Spartina alterniflora,0.81,28.35,Summer
Spartina alterniflora,1.08,28.35,Summer
Spartina alterniflora,0.759,28.32,Summer
Spartina alterniflora,1.56,33.67,Autumn
Spartina alterniflora,1.31,33.67,Autumn
Spartina alterniflora,0.64,33.67,Autumn
Spartina alterniflora,0.64,33.6,Autumn
Spartina alterniflora,0.58,33.13,Autumn
Spartina alterniflora,0.09,33.13,Autumn
Spartina alterniflora,0.61,26.75,Autumn
Spartina alterniflora,0.44,33.67,Winter
Spartina alterniflora,1.06,28.35,Winter
Suaeda salsa,0.478,37.67,Summer
Suaeda salsa,0.45,36.21,Summer
Suaeda salsa,0.39,36.2,Autumn
Suaeda salsa,0.62,36.18,Autumn
Suaeda salsa,0.73,37.75,Winter
Suaeda salsa,0.6,36.05,Winter
Suaeda salsa,0.59,33.67,Spring
Suaeda salsa,1.51,33,Spring
Suaeda salsa,1.51,32.88,Spring
Suaeda salsa,0.61,33.67,Summer
Suaeda salsa,0.64,33.67,Summer
Suaeda salsa,0.541,33.48,Summer
Suaeda salsa,0.541,33.45,Summer
Suaeda salsa,1.34,33.67,Autumn
Suaeda salsa,0.62,33.67,Autumn
Suaeda salsa,0.55,33.13,Autumn
Suaeda salsa,0.16,33.13,Autumn
Suaeda salsa,0.57,33.67,Winter
Phragmites australis,0.475,37.67,Summer
Phragmites australis,0.36,36.21,Summer
Phragmites australis,0.66,36.23,Autumn
Phragmites australis,0.24,36.2,Autumn
Phragmites australis,0.67,37.75,Winter
Phragmites australis,0.65,36.05,Winter
Phragmites australis,0.62,33.67,Spring
Phragmites australis,0.59,33.67,Spring
Phragmites australis,1.22,32.88,Spring
Phragmites australis,0.572,33.48,Summer
Phragmites australis,0.572,33.45,Summer
Phragmites australis,0.95,31.42,Summer
Phragmites australis,0.91,31.28,Summer
Phragmites australis,0.61,33.67,Autumn
Phragmites australis,0.26,33.13,Autumn
Phragmites australis,0.62,33.67,Winter
